# Time, Simulation
0.0088, 0.0003
0.2051, 0.0003
0.3542, 0
0.3856, 0.0717
0.413, 0.1268
0.4366, 0.182
0.4641, 0.2349
0.4955, 0.2906
0.5249, 0.3452
0.5543, 0.4004
0.5877, 0.4533
0.6269, 0.5085
0.6603, 0.5614
0.7015, 0.6165
0.7447, 0.6695
0.7937, 0.7246
0.8447, 0.7776
0.8997, 0.8305
0.9625, 0.8813
1.0292, 0.9342
1.1077, 0.9849
1.194, 1.0335
1.2961, 1.082
1.4138, 1.1261
1.5472, 1.1658
1.6963, 1.2011
1.8612, 1.2298
2.0338, 1.254
2.2222, 1.2695
2.4106, 1.2805
2.599, 1.2893
2.7873, 1.2938
2.9836, 1.2982
3.1798, 1.3004
3.3682, 1.3026
3.5644, 1.3048
3.7685, 1.3048
3.9568, 1.307
